date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-24,Munchies,1237,Namkeen Snacks,29,29650,609,Haldiram's Nut Cracker / Peanuts,1913687,55,55,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/989dc08d-0f48-4d80-a5f5-7b9df1b721d5.png,,Haldiram's
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,138835,Lijjat Plain Urad Dal Papad,1396473,77,77,1,6,0,https://cdn.grofers.com/da/cms-assets/cms/product/4cba19d7-8a60-49c8-9598-669cb459cfd3.png,,Lijjat
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,501328,Ramji Pani Puri Papad,677464,34,45,1,15,0,https://cdn.grofers.com/da/cms-assets/cms/product/4084a9e5-08a8-4ffb-ac00-47cc808126e4.png,,Ramji
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,41405,Haldiram's Medium Masala Papad,223884,65,65,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/3081369c-d4af-412e-b426-2965fcd58a63.png,,Haldiram's
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,18725,Mother's Recipe Potato Papad,223836,34,34,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/f1a47d18-bc40-4267-b3a9-daa57772e126.png,,Mother's Recipe
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,501327,Ramji Net Fryums,677419,58,80,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/d0923205-52a5-452a-b773-032aa2d14773.png,,Ramji
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,500884,Ramji Mix Fryums,676478,58,80,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/fd942d4a-bacd-4811-bfd4-d1610792aefe.png,,Ramji
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,500882,Ramji Tingo Fryums,676476,58,80,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/5b6c71ff-2992-497e-ab7c-7d7421ac4fdf.png,,Ramji
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,500883,Ramji Wheel Fryums,676477,58,80,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/a17b96c4-789f-4eb2-8f10-23546f413fa7.png,,Ramji
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,28242,Mother's Recipe Rice Papad - Jeera,616744,25,25,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/f7b342b3-e293-4521-b3cf-a5580a380ada.png,,Mother's Recipe
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,18925,Lijjat Punjabi Masala Papad,223837,89,89,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/c99ba260-93ab-4b1b-86cb-26896db62ac3.png,,Lijjat
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,15558,Lijjat Moong Dal Papad,1396457,77,77,1,10,0,https://cdn.grofers.com/da/cms-assets/cms/product/d9b349bc-c4a4-4afe-b130-75640f409e7b.png,,Lijjat
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,19448,Mother's Recipe Moong Dal Papad,1396461,71,75,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/63a9af92-3c80-4b29-87bd-b0171afa7609.png,,Mother's Recipe
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,28241,Mother's Recipe Rice Papad - Ajwain,616414,25,25,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/3d235cee-21b5-4f84-b3c8-41d2c7ba8192.png,,Mother's Recipe
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,448116,Bikano Amritsari Masala Papad,1396842,70,70,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/24cbecc6-53bf-4e63-ad0f-f481e51ed3ac.png,,Bikano
2025-07-24,Munchies,1237,Papad & Fryums,80,29650,546154,Ramji Jeera Rice Papad,814841,71,99,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/542c47ae-ec2b-4cde-a2fa-9be8eb44c0f0.png,,Ramji
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,11150,Uncle Chipps Spicy Treat Flavour Potato Chips,527890,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/871988d1-1b77-476f-8dec-922930ad2c4b.png,,Uncle Chipps
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,432775,Lay's India's Magic Masala Potato Chips,438085,30,30,1,45,0,https://cdn.grofers.com/da/cms-assets/cms/product/7806dadc-a3c9-4cec-869f-90879c1f345c.png,,Lay's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,67372,Kurkure Masala Munch Crisps,1910366,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/870a38da-a236-44f8-aa67-851f0adacbba.png,,Kurkure
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,289152,Lay's West Indies Hot n Sweet Chilli Flavour Potato Chips,782262,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/b4992782-f47e-4fda-a0c6-4c9e422b9654.png,,Lay's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,574,Lay's Chile Limon Flavour Potato Chips,682288,20,20,1,46,0,https://cdn.grofers.com/da/cms-assets/cms/product/0293e130-cbdc-402a-af48-bdd7da6e5462.png,,Lay's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,432774,Lay's American Style Cream & Onion Potato Chips,561608,30,30,1,21,0,https://cdn.grofers.com/da/cms-assets/cms/product/8e3a3fc7-66cf-403f-ae22-a5ccb07103c7.png,,Lay's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,223819,Lay's Crispz Herb & Onion Potato Chips,816470,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/e4a25547-0e12-4299-a2ab-3ee7d7ffbe66.png,,Lay's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,367837,Kurkure Puffcorn Yummy Cheese Puffs,1910340,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/38f3be41-8612-44c0-9e54-69abedfb07a5.png,,Kurkure
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,577,Lay's Spanish Tomato Tango Potato Chips,438083,20,20,1,41,0,https://cdn.grofers.com/da/cms-assets/cms/product/c586c4d2-5b80-49f8-bd16-10c9c647c958.png,,Lay's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,496951,Let's Try Potato Chips /Wafers,2159870,44,60,1,21,0,https://cdn.grofers.com/da/cms-assets/cms/product/bb55af8f-b7d7-49e6-824c-c4a7d84b6bfc.png,,Let's Try
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,534449,Uncle Chipps Plain Salted Potato Chips,634986,40,50,1,22,0,https://cdn.grofers.com/da/cms-assets/cms/product/d142587a-9582-41fe-b8c5-c054a189f89b.png,,Uncle Chipps
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,116824,Kurkure Chilli Chatka Crisps,1910333,20,20,1,25,0,https://cdn.grofers.com/da/cms-assets/cms/product/5ce79c46-e60f-43dc-bdfe-f11985feb790.png,,Kurkure
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,482828,Haldiram's Takatak Chatpata Masala Stick,761768,22,25,1,12,0,https://cdn.grofers.com/da/cms-assets/cms/product/02a26f91-4c2d-400c-84c3-1d33b222acb4.png,,Haldiram's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,372150,Chheda's Yellow Banana Chips,1910717,78,100,1,18,0,https://cdn.grofers.com/da/cms-assets/cms/product/98fd8845-b321-403f-92fc-40fc8c0cf89e.png,,Chheda's
2025-07-24,Munchies,1237,Chips & Crisps,940,29650,486104,Kettle Studio Lime & Chilli Banana Chips,2173143,99,99,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/cbba0df5-cf09-4a85-a81b-adf31ee86948.png,,Kettle Studio
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,570799,Original Ghee Mysore Pak by Sweet Karam Coffee,1149826,126,149,1,17,0,https://cdn.grofers.com/da/cms-assets/cms/product/0886b60d-0fa7-4794-97d8-bd39741d56fa.png,,Sweet Karam Coffee
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,512669,Motichoor Laddu by Lal,704698,123,125,1,6,0,https://cdn.grofers.com/da/cms-assets/cms/product/41b23732-feeb-4121-8815-e7a32c214e61.png,,Lal
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,523571,Rabri by Amul,1890314,25,25,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/7632ccac-a2c6-4bad-ae08-dbfe0a52235f.png,,Amul
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,427611,Malai Peda by Amul,661510,114,120,1,8,0,https://cdn.grofers.com/da/cms-assets/cms/product/41004af4-5151-4fb4-a453-6e0b50784471.png,,Amul
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,478077,Milk Cake by Lal,661581,159,159,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/bf8ae4a8-f252-457c-be4c-c57d5d58efcd.png,,Lal
